Local date,Demand
03Aug2023,"856,999"
04Aug2023,"859,639"
05Aug2023,"863,658"
06Aug2023,"879,187"
07Aug2023,"947,372"
08Aug2023,"906,086"
09Aug2023,"891,745"
10Aug2023,"871,787"
11Aug2023,"864,174"
12Aug2023,"834,336"
13Aug2023,"840,847"
14Aug2023,"961,242"
15Aug2023,"1,005,199"
16Aug2023,"1,036,971"
17Aug2023,"1,013,606"
18Aug2023,"935,129"
19Aug2023,"819,266"
20Aug2023,"791,716"
21Aug2023,"806,343"
22Aug2023,"844,639"
23Aug2023,"909,042"
24Aug2023,"910,503"
25Aug2023,"854,185"
26Aug2023,"795,951"
27Aug2023,"806,694"
28Aug2023,"952,116"
29Aug2023,"968,562"
30Aug2023,"970,815"
31Aug2023,"918,778"
01Sep2023,"846,099"
02Sep2023,"764,517"
03Sep2023,"711,687"
04Sep2023,"713,097"
05Sep2023,"793,095"
06Sep2023,"812,401"
07Sep2023,"829,675"
08Sep2023,"874,257"
09Sep2023,"856,426"
10Sep2023,"833,530"
11Sep2023,"893,957"
12Sep2023,"864,685"
13Sep2023,"827,821"
14Sep2023,"816,528"
15Sep2023,"808,096"
16Sep2023,"745,112"
17Sep2023,"701,080"
18Sep2023,"763,452"
19Sep2023,"758,162"
20Sep2023,"754,419"
21Sep2023,"738,298"
22Sep2023,"723,187"
23Sep2023,"671,603"
24Sep2023,"670,716"
25Sep2023,"735,056"
26Sep2023,"758,407"
27Sep2023,"759,883"
28Sep2023,"752,475"
29Sep2023,"738,543"
30Sep2023,"665,271"
01Oct2023,"625,543"
02Oct2023,"679,834"
03Oct2023,"712,595"
04Oct2023,"765,421"
05Oct2023,"829,407"
06Oct2023,"845,043"
07Oct2023,"780,320"
08Oct2023,"755,381"
09Oct2023,"759,464"
10Oct2023,"733,539"
11Oct2023,"710,424"
12Oct2023,"709,180"
13Oct2023,"719,338"
14Oct2023,"670,569"
15Oct2023,"673,504"
16Oct2023,"756,541"
17Oct2023,"769,717"
18Oct2023,"791,779"
19Oct2023,"811,122"
20Oct2023,"802,211"
21Oct2023,"708,175"
22Oct2023,"659,457"
23Oct2023,"713,728"
24Oct2023,"701,678"
